dataset,threshold,baseline_model,metric,n_pools,improvement_mean,pearson_r,spearman_r,spearman_p,median_label_agreement_cutpoint,low_agreement_mean_improvement,high_agreement_mean_improvement,low_minus_high_mean_improvement,low_agreement_mean_positive_rate,high_agreement_mean_positive_rate
robin_netperturbation,20,rf_ecfp,mrr,27,0.3977366255144033,-0.2256916073787597,-0.2453787270263001,0.2173295875417553,0.490566037735849,0.4301587301587301,0.3628205128205129,0.0673382173382172,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,xgboost_ecfp,aupr,27,0.0780558787816952,-0.4914134652765454,-0.3528693528693529,0.0710148261610854,0.490566037735849,0.1127172982656902,0.0407281962604698,0.0719891020052203,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,xgboost_ecfp,ef5,27,0.4902781403016107,-0.637633603083461,-0.6017530809923068,0.0008986697281308,0.490566037735849,1.0343566045947,-0.0956525135524851,1.1300091181471852,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,xgboost_ecfp,first_hit_rank,27,0.6666666666666666,-0.5667008618902994,-0.4760672953095239,0.0120682165039187,0.490566037735849,1.4285714285714286,-0.1538461538461538,1.5824175824175826,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,xgboost_ecfp,mrr,27,0.1194444444444444,-0.555385289020227,-0.4760672953095239,0.0120682165039187,0.490566037735849,0.3017857142857142,-0.0769230769230769,0.3787087912087912,0.3634209669430291,0.5937706563699411
robin_netperturbation,50,global_knn25,aupr,17,0.0606949737132324,-0.0560372398170131,0.0490196078431372,0.8517943990009383,0.55,0.056017434601015,0.065957205214477,-0.009939770613462,0.4836924488500003,0.627849903061565
robin_netperturbation,50,global_knn25,ef5,17,0.250892686638571,-0.704946276634441,-0.7837861495914026,0.0001969061317935,0.55,0.5546367157598134,-0.0908193461228266,0.6454560618826402,0.4836924488500003,0.627849903061565
robin_netperturbation,50,global_knn25,first_hit_rank,17,0.1176470588235294,-0.1230680269445248,-0.0868386003650967,0.740342898097451,0.55,0.2222222222222222,0.0,0.2222222222222222,0.4836924488500003,0.627849903061565
robin_netperturbation,50,global_knn25,mrr,17,0.0196078431372549,-0.1063237008152441,-0.0776242220493788,0.7671374703801496,0.55,0.037037037037037,0.0,0.037037037037037,0.4836924488500003,0.627849903061565
robin_netperturbation,50,global_pos_nn,aupr,17,0.1497337233176426,-0.4221666278322567,-0.1936274509803922,0.4564969285487544,0.55,0.1570582709012208,0.1414936072861171,0.0155646636151037,0.4836924488500003,0.627849903061565
robin_netperturbation,50,global_pos_nn,ef5,17,0.4995348363671865,-0.638590117092154,-0.5539215686274511,0.0210498248670677,0.55,0.7211942527034532,0.2501679929888863,0.4710262597145668,0.4836924488500003,0.627849903061565
robin_netperturbation,50,global_pos_nn,first_hit_rank,17,0.689897589737714,-0.7070960261189494,-0.6887254901960785,0.0022327017176758,0.55,0.8773840316603474,0.4789753425747516,0.3984086890855957,0.4836924488500003,0.627849903061565
robin_netperturbation,50,global_pos_nn,mrr,17,0.3554953739629082,-0.5433791572195628,-0.6887254901960785,0.0022327017176758,0.55,0.3981446299681938,0.307514960956962,0.0906296690112317,0.4836924488500003,0.627849903061565
robin_netperturbation,50,rf_ecfp,aupr,17,0.1154283096326722,-0.2128235171341271,-0.1764705882352941,0.4980676573237341,0.55,0.1177611748923213,0.1128038362155671,0.0049573386767541,0.4836924488500003,0.627849903061565
robin_netperturbation,50,rf_ecfp,ef5,17,0.7518357419844947,-0.7177408582604541,-0.7395599718715115,0.0006910964701984,0.55,1.2066630408085497,0.2401550308074326,0.9665080100011172,0.4836924488500003,0.627849903061565
robin_netperturbation,50,rf_ecfp,first_hit_rank,17,1.411764705882353,-0.4244077635273116,-0.5219031839685715,0.0316446579248132,0.55,1.8888888888888888,0.875,1.0138888888888888,0.4836924488500003,0.627849903061565
robin_netperturbation,50,rf_ecfp,mrr,17,0.4294117647058824,-0.5015108403277787,-0.5213542812854286,0.0318563614329297,0.55,0.5425925925925926,0.3020833333333333,0.2405092592592592,0.4836924488500003,0.627849903061565
robin_netperturbation,50,xgboost_ecfp,aupr,17,0.0397074851290502,0.0316346495869687,0.0784313725490196,0.7647798831352097,0.55,0.0241530253205649,0.0572062524135962,-0.0330532270930312,0.4836924488500003,0.627849903061565
robin_netperturbation,50,xgboost_ecfp,ef5,17,0.1272467772840539,-0.544444582998126,-0.5955793399889697,0.0116482991303439,0.55,0.3155634914292178,-0.0846095261292555,0.4001730175584733,0.4836924488500003,0.627849903061565
robin_netperturbation,50,xgboost_ecfp,first_hit_rank,17,0.0,-0.1549475291771203,-0.1819017187772497,0.4847166429489901,0.55,0.0,0.0,0.0,0.4836924488500003,0.627849903061565
robin_netperturbation,50,xgboost_ecfp,mrr,17,0.0,-0.1549475291771203,-0.1819017187772497,0.4847166429489901,0.55,0.0,0.0,0.0,0.4836924488500003,0.627849903061565
